MakeName,MakeID,MakeSlug
Chevrolet,47,chevrolet
Ford,54,ford
Buick,45,buick
Lincoln,55,lincoln
Willys,459,willys
Dodge,40,dodge
Pontiac,52,pontiac
Studebaker,87,studebaker
Cadillac,46,cadillac
Chrysler,39,chrysler
Jeep,42,jeep
GMC,48,gmc
Hudson,446,hudson
Checker,17,checker
Crosley,453,crosley
Plymouth,43,plymouth
International,71,international
Jaguar,20,jaguar
Mercury,56,mercury
Nash,443,nash
Oldsmobile,51,oldsmobile
Volkswagen,74,volkswagen
Alfa Romeo,16,alfa-romeo
Henry J,610,henry-j
Renault,23,renault
DeSoto,450,desoto
Fiat,7,fiat
Packard,442,packard
Triumph,14,triumph
Panhard,528,panhard
Hillman,447,hillman
Peugeot,28,peugeot
Porsche,2,porsche
Mercedes-Benz,63,mercedes-benz
MG,64,mg
Saab,65,saab
Simca,438,simca
Skoda,515,skoda
Sunbeam,88,sunbeam
Volvo,27,volvo
Austin,4,austin
Austin Healey,1223,austin-healey
AC,457,ac
American Motors,66,american-motors
Edsel,562,edsel
Land Rover,11,land-rover
Aston Martin,77,aston-martin
Bentley,69,bentley
Ferrari,78,ferrari
Morris,86,morris
Morgan,12,morgan
Toyota,76,toyota
BMW,31,bmw
Maserati,79,maserati
Lancia,8,lancia
Nissan,67,nissan
Shelby,30,shelby
Lamborghini,38,lamborghini
NSU,489,nsu
Opel,22,opel
Avanti,5,avanti
Lotus,84,lotus
Rover,10,rover
Rolls-Royce,70,rolls-royce
TVR,490,tvr
Daimler,487,daimler
DeTomaso,61,detomaso
Jensen,9,jensen
Subaru,13,subaru
AM General,44,am-general
Audi,73,audi
Honda,59,honda
Marcos,558,marcos
Mazda,80,mazda
VAM,1248,vam
Iveco,1240,iveco
Mack,496,mack
DeLorean,35,delorean
Isuzu,37,isuzu
Hyundai,3,hyundai
Mitsubishi,72,mitsubishi
Suzuki,1,suzuki
Bertone,33,bertone
Hino,499,hino
Merkur,57,merkur
Acura,58,acura
Yugo,15,yugo
Mitsubishi Fuso,500,mitsubishi-fuso
Sterling,60,sterling
Daihatsu,19,daihatsu
Eagle,41,eagle
Blue Bird,1255,blue-bird
Geo,50,geo
Laforza,25,laforza
UD,498,ud
Infiniti,68,infiniti
Lexus,75,lexus
Freightliner,497,freightliner
Saturn,53,saturn
Asuna,89,asuna
Spartan Motors,1293,spartan-motors
Kia,21,kia
Daewoo,18,daewoo
Kenworth,559,kenworth
Workhorse,608,workhorse
Prevost,1296,prevost
Seat,615,seat
Sterling Truck,1253,sterling-truck
Workhorse Custom Chassis,1297,workhorse-custom-chassis
Hummer,93,hummer
Mini,32,mini
IC Corporation,1265,ic-corporation
Maybach,62,maybach
Pierce Mfg. Inc.,1272,pierce-mfg-inc
Scion,91,scion
Smart,484,smart
Peterbilt,560,peterbilt
Gillig,1260,gillig
FAW,612,faw
Tesla,1164,tesla
Ram,1168,ram
VPG,1227,vpg
Fisker,1243,fisker
SRT,1230,srt
Western Star,1273,western-star
Mobility Ventures,1314,mobility-ventures
MAN,1330,man
Genesis,1319,genesis
Proterra,1336,proterra
